updateDate,code,code_name
2020-06-29,sz.002382,蓝帆医疗
2020-06-29,sz.002385,大北农
2020-06-29,sz.002387,维信诺
2020-06-29,sz.002390,信邦制药
2020-06-29,sz.002396,星网锐捷
2020-06-29,sz.002399,海普瑞
2020-06-29,sz.002407,多氟多
2020-06-29,sz.002408,齐翔腾达
2020-06-29,sz.002414,高德红外
2020-06-29,sz.002416,爱施德
2020-06-29,sz.002419,天虹股份
2020-06-29,sz.002423,中粮资本
2020-06-29,sz.002424,贵州百灵
2020-06-29,sz.002429,兆驰股份
2020-06-29,sz.002434,万里扬
2020-06-29,sz.002439,启明星辰
2020-06-29,sz.002440,闰土股份
2020-06-29,sz.002444,巨星科技
2020-06-29,sz.002458,益生股份
2020-06-29,sz.002465,海格通信
2020-06-29,sz.002470,金正大
2020-06-29,sz.002491,通鼎互联
2020-06-29,sz.002500,山西证券
2020-06-29,sz.002503,搜于特
2020-06-29,sz.002505,大康农业
2020-06-29,sz.002506,协鑫集成
2020-06-29,sz.002507,涪陵榨菜
2020-06-29,sz.002511,中顺洁柔
2020-06-29,sz.002544,杰赛科技
2020-06-29,sz.002557,洽洽食品
2020-06-29,sz.002563,森马服饰
2020-06-29,sz.002572,索菲亚
2020-06-29,sz.002583,海能达
2020-06-29,sz.002589,瑞康医药
2020-06-29,sz.002595,豪迈科技
2020-06-29,sz.002603,以岭药业
2020-06-29,sz.002625,光启技术
2020-06-29,sz.002635,安洁科技
2020-06-29,sz.002640,跨境通
2020-06-29,sz.002648,卫星石化
2020-06-29,sz.002653,海思科
2020-06-29,sz.002665,首航高科
2020-06-29,sz.002670,国盛金控
2020-06-29,sz.002690,美亚光电
2020-06-29,sz.002701,奥瑞金
2020-06-29,sz.002709,天赐材料
2020-06-29,sz.002745,木林森
2020-06-29,sz.002797,第一创业
2020-06-29,sz.002807,江阴银行
2020-06-29,sz.002815,崇达技术
2020-06-29,sz.002818,富森美
2020-06-29,sz.002821,凯莱英
2020-06-29,sz.002831,裕同科技
2020-06-29,sz.002839,张家港行
2020-06-29,sz.002867,周大生
2020-06-29,sz.002901,大博医疗
2020-06-29,sz.002920,德赛西威
2020-06-29,sz.002925,盈趣科技
2020-06-29,sz.002926,华西证券
2020-06-29,sz.002936,郑州银行
2020-06-29,sz.002941,新疆交建
2020-06-29,sz.002946,新乳业
2020-06-29,sz.002948,青岛银行
2020-06-29,sz.002957,科瑞技术
2020-06-29,sz.300001,特锐德
2020-06-29,sz.300002,神州泰岳
2020-06-29,sz.300009,安科生物
2020-06-29,sz.300010,立思辰
2020-06-29,sz.300012,华测检测
2020-06-29,sz.300017,网宿科技
2020-06-29,sz.300024,机器人
